"No.","Time","Source","Destination","Protocol","Length","Info"
"295719","22.258185220","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295720","22.258190371","127.0.0.1","127.0.0.1","OpenFlow","238","Type: OFPT_PACKET_IN"
"295749","22.259920767","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295752","22.260183148","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295756","22.260407959","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295759","22.260612430","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"295760","22.260731488","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295763","22.260939406","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"295793","22.204007219","127.0.0.1","127.0.0.1","OpenFlow","206","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"295800","22.205594888","127.0.0.1","127.0.0.1","OpenFlow","186","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"296017","22.254537031","127.0.0.1","127.0.0.1","OpenFlow","236","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"296020","22.254570944","127.0.0.1","127.0.0.1","OpenFlow","236","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"296308","22.262979395","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296309","22.263945816","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296313","22.264161651","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296317","22.264422691","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296321","22.264571450","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296322","22.264662970","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296325","22.264821609","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296329","22.264941879","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296330","22.265041528","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296334","22.265764344","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296338","22.265974323","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296342","22.266095171","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296343","22.266615630","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296347","22.266821249","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296351","22.267194484","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296418","22.276535852","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"296419","22.277165311","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"296422","22.277323738","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
