Time,6633-restime,6634-restime,6633-throughput,6634-throughput
43.0,0.001081665765278529,0.0016273393002441008,924.5,614.5
44.0,0.0015105740181268882,0.002347417840375587,662.0,426.0
45.0,0.0014275517487508922,0.0023446658851113715,700.5,426.5
46.0,0.0012232415902140672,0.0022396416573348264,817.5,446.5
47.0,0.0011716461628588166,0.0021344717182497333,853.5,468.5
48.0,0.0014388489208633094,0.0022650056625141564,695.0,441.5
49.0,0.0014619883040935672,0.0023148148148148147,684.0,432.0
50.0,0.0013698630136986301,0.00228310502283105,730.0,438.0
51.0,0.001095290251916758,0.001670843776106934,913.0,598.5
52.0,0.0010712372790573112,0.0016220600162206002,933.5,616.5
53.0,0.0010509721492380452,0.0016273393002441008,951.5,614.5
54.0,0.0010598834128245894,0.0016339869281045752,943.5,612.0
55.0,0.001100715465052284,0.001658374792703151,908.5,603.0
56.0,0.0010911074740861974,0.0016406890894175555,916.5,609.5
57.0,0.0010465724751439038,0.0015810276679841897,955.5,632.5
58.0,0.001091703056768559,0.0016420361247947454,916.0,609.0
59.0,0.0011061946902654867,0.0016680567139282735,904.0,599.5
60.0,0.001063264221158958,0.0016233766233766235,940.5,616.0
61.0,0.0010660980810234541,0.0016194331983805667,938.0,617.5
62.0,0.0011254924029262803,0.0017006802721088435,888.5,588.0
63.0,0.0011068068622025456,0.0016638935108153079,903.5,601.0
64.0,0.0010793308148947653,0.0016207455429497568,926.5,617.0
65.0,0.001087547580206634,0.0016460905349794238,919.5,607.5
66.0,0.0011129660545353367,0.0016652789342214821,898.5,600.5
67.0,0.0010869565217391304,0.001644736842105263,920.0,608.0
68.0,0.0010723860589812334,0.001610305958132045,932.5,621.0
69.0,0.0010787486515641855,0.0016129032258064516,927.0,620.0
70.0,0.001091703056768559,0.001639344262295082,916.0,610.0
71.0,0.001129305477131564,0.0017064846416382253,885.5,586.0
72.0,0.0011031439602868175,0.001658374792703151,906.5,603.0
73.0,0.0011068068622025456,0.0016611295681063123,903.5,602.0
74.0,0.0011098779134295228,0.0016666666666666668,901.0,600.0
75.0,0.0011043622308117063,0.0016597510373443983,905.5,602.5
76.0,0.0010554089709762533,0.001594896331738437,947.5,627.0
77.0,0.0010758472296933835,0.0016366612111292963,929.5,611.0
78.0,0.0010621348911311736,0.0016116035455278,941.5,620.5
79.0,0.0010758472296933835,0.0016168148746968471,929.5,618.5
80.0,0.0010712372790573112,0.0016116035455278,933.5,620.5
81.0,0.0010638297872340426,0.0015961691939345571,940.0,626.5
82.0,0.0010460251046025104,0.001567398119122257,956.0,638.0
83.0,0.0010542962572482868,0.0015810276679841897,948.5,632.5
84.0,0.001072961373390558,0.0016220600162206002,932.0,616.5
85.0,0.0011117287381878821,0.0016722408026755853,899.5,598.0
86.0,0.0010804970286331713,0.0016207455429497568,925.5,617.0
87.0,0.001081665765278529,0.0016220600162206002,924.5,616.5
88.0,0.0010615711252653928,0.0015961691939345571,942.0,626.5
89.0,0.0010598834128245894,0.0015885623510722795,943.5,629.5
90.0,0.001105583195135434,0.0016625103906899418,904.5,601.5
91.0,0.0010863661053775121,0.0016286644951140066,920.5,614.0
92.0,0.001095290251916758,0.0016474464579901153,913.0,607.0
93.0,0.001135718341851221,0.0017050298380221654,880.5,586.5
94.0,0.0010559662090813093,0.0015822784810126582,947.0,632.0
95.0,0.001087547580206634,0.0016273393002441008,919.5,614.5
96.0,0.00110803324099723,0.0016611295681063123,902.5,602.0
97.0,0.0015384615384615385,0.0023584905660377358,650.0,424.0
98.0,0.0013783597518952446,0.0022396416573348264,725.5,446.5
99.0,0.0011702750146284377,0.002026342451874367,854.5,493.5
100.0,0.001142857142857143,0.002127659574468085,875.0,470.0
101.0,0.001402524544179523,0.002288329519450801,713.0,437.0
102.0,0.0014326647564469914,0.00228310502283105,698.0,438.0
103.0,0.001215066828675577,0.0019588638589618022,823.0,510.5
104.0,0.001070090957731407,0.0016666666666666668,934.5,600.0
105.0,0.001072961373390558,0.0016194331983805667,932.0,617.5
106.0,0.0010504201680672268,0.0016168148746968471,952.0,618.5
107.0,0.001048767697954903,0.0016012810248198558,953.5,624.5
108.0,0.0010869565217391304,0.001658374792703151,920.0,603.0
109.0,0.0010863661053775121,0.0016326530612244899,920.5,612.5
110.0,0.0010976948408342481,0.0016542597187758478,911.0,604.5
111.0,0.0010598834128245894,0.0016025641025641025,943.5,624.0
112.0,0.0010666666666666667,0.0016025641025641025,937.5,624.0
113.0,0.0010758472296933835,0.0016129032258064516,929.5,620.0
114.0,0.00105318588730911,0.0016025641025641025,949.5,624.0
115.0,0.0011086474501108647,0.001693480101608806,902.0,590.5
116.0,0.0010946907498631637,0.0016433853738701725,913.5,608.5
117.0,0.0010893246187363835,0.0016420361247947454,918.0,609.0
118.0,0.001095290251916758,0.0016366612111292963,913.0,611.0
119.0,0.0010509721492380452,0.0015748031496062992,951.5,635.0
120.0,0.0010526315789473684,0.0015873015873015873,950.0,630.0
121.0,0.0010598834128245894,0.0016038492381716118,943.5,623.5
122.0,0.0011111111111111111,0.0016638935108153079,900.0,601.0
123.0,0.001095290251916758,0.0016638935108153079,913.0,601.0
124.0,0.001105583195135434,0.0016570008285004142,904.5,603.5
125.0,0.0011092623405435386,0.0016680567139282735,901.5,599.5
126.0,0.0010940919037199124,0.0016366612111292963,914.0,611.0
127.0,0.00110803324099723,0.0016597510373443983,902.5,602.5
128.0,0.0010887316276537834,0.0016339869281045752,918.5,612.0
129.0,0.0010615711252653928,0.001610305958132045,942.0,621.0
130.0,0.0010746910263299302,0.0016246953696181965,930.5,615.5
131.0,0.0011494252873563218,0.0017482517482517483,870.0,572.0
132.0,0.0011013215859030838,0.0016611295681063123,908.0,602.0
133.0,0.0010718113612004287,0.0016116035455278,933.0,620.5
134.0,0.001091703056768559,0.001635322976287817,916.0,611.5
135.0,0.001092896174863388,0.0016474464579901153,915.0,607.0
136.0,0.0010649627263045794,0.0016025641025641025,939.0,624.0
137.0,0.0010851871947911015,0.0016286644951140066,921.5,614.0
138.0,0.0011013215859030838,0.0016570008285004142,908.0,603.5
139.0,0.0010851871947911015,0.0016233766233766235,921.5,616.0
140.0,0.001081665765278529,0.0016233766233766235,924.5,616.0
141.0,0.0010649627263045794,0.0016,939.0,625.0
142.0,0.001084010840108401,0.0016299918500407497,922.5,613.5
143.0,0.0010554089709762533,0.0015910898965791568,947.5,628.5
144.0,0.0010604453870625664,0.0015923566878980893,943.0,628.0
145.0,0.001088139281828074,0.0016326530612244899,919.0,612.5
146.0,0.001141552511415525,0.0017196904557179708,876.0,581.5
147.0,0.0014234875444839859,0.002162162162162162,702.5,462.5
148.0,0.001375515818431912,0.0021551724137931034,727.0,464.0
149.0,0.0013054830287206266,0.0022123893805309734,766.0,452.0
150.0,0.0011037527593818985,0.0020060180541624875,906.0,498.5
151.0,0.0012682308180088776,0.0022123893805309734,788.5,452.0
152.0,0.0014738393515106854,0.002369668246445498,678.5,422.0
153.0,0.0012232415902140672,0.0019704433497536944,817.5,507.5
154.0,0.0010193679918450561,0.0015923566878980893,981.0,628.0
155.0,0.0011204481792717086,0.0017123287671232876,892.5,584.0
156.0,0.0010504201680672268,0.0016194331983805667,952.0,617.5
157.0,0.0010476689366160294,0.0016129032258064516,954.5,620.0
158.0,0.0010666666666666667,0.0016299918500407497,937.5,613.5
159.0,0.0011025358324145535,0.0016680567139282735,907.0,599.5
160.0,0.0010995052226498076,0.0016501650165016502,909.5,606.0
161.0,0.0011068068622025456,0.001658374792703151,903.5,603.0
162.0,0.0010964912280701754,0.001652892561983471,912.0,605.0
163.0,0.0010822510822510823,0.0016299918500407497,924.0,613.5
164.0,0.0010905125408942203,0.0016570008285004142,917.0,603.5
165.0,0.0010828370330265296,0.0016652789342214821,923.5,600.5
166.0,0.0011305822498586771,0.0017006802721088435,884.5,588.0
167.0,0.001098901098901099,0.001652892561983471,910.0,605.0
168.0,0.0011129660545353367,0.0016652789342214821,898.5,600.5
169.0,0.0011068068622025456,0.0016638935108153079,903.5,601.0
170.0,0.0010822510822510823,0.0016366612111292963,924.0,611.0
