Time,6633-restime,6634-restime,6633-throughput,6634-throughput
26.8,0.001315789,0.001904762,760,525
26.9,0.001098901,0.001680672,910,595
27,0.001036269,0.001538462,965,650
27.1,0.001025641,0.001538462,975,650
27.2,0.001111111,0.001666667,900,600
27.3,0.001052632,0.001626016,950,615
27.4,0.001123596,0.001666667,890,600
27.5,0.001086957,0.001652893,920,605
27.6,0.001058201,0.001626016,945,615
27.7,0.001092896,0.001652893,915,605
27.8,0.001212121,0.001754386,825,570
27.9,0.001025641,0.001587302,975,630
28,0.001086957,0.001612903,920,620
28.1,0.00104712,0.0015625,955,640
28.2,0.001058201,0.001574803,945,635
28.3,0.001092896,0.001680672,915,595
28.4,0.001052632,0.001538462,950,650
28.5,0.000938967,0.001360544,1065,735
28.6,0.001069519,0.001612903,935,620
28.7,0.001111111,0.001724138,900,580
28.8,0.001142857,0.001709402,875,585
28.9,0.001098901,0.0016,910,625
29,0.00104712,0.001612903,955,620
29.1,0.001041667,0.0015625,960,640
29.2,0.001075269,0.001639344,930,610
29.3,0.001092896,0.001612903,915,620
29.4,0.001104972,0.001639344,905,610
29.5,0.001015228,0.0015625,985,640
29.6,0.001069519,0.0016,935,625
29.7,0.001142857,0.001666667,875,600
29.8,0.001265823,0.001960784,790,510
29.9,0.001075269,0.0016,930,625
30,0.001069519,0.001612903,935,620
30.1,0.001041667,0.001526718,960,655
30.2,0.001104972,0.001709402,905,585
30.3,0.001129944,0.001680672,885,595
30.4,0.001176471,0.001769912,850,565
30.5,0.001092896,0.001612903,915,620
30.6,0.001081081,0.001626016,925,615
30.7,0.00104712,0.001587302,955,630
30.8,0.001190476,0.001801802,840,555
30.9,0.001142857,0.001680672,875,595
31,0.00106383,0.001652893,940,605
31.1,0.001052632,0.001587302,950,630
31.2,0.001117318,0.001694915,895,590
31.3,0.001098901,0.001680672,910,595
31.4,0.001129944,0.001652893,885,605
31.5,0.00106383,0.001587302,940,630
31.6,0.001156069,0.00173913,865,575
31.7,0.001075269,0.001639344,930,610
31.8,0.001212121,0.001769912,825,565
31.9,0.00125,0.001886792,800,530
32,0.001015228,0.0015625,985,640
32.1,0.001081081,0.001612903,925,620
32.2,0.001086957,0.001639344,920,610
32.3,0.001041667,0.001538462,960,650
32.4,0.001149425,0.001754386,870,570
32.5,0.001052632,0.001574803,950,635
32.6,0.00106383,0.0015625,940,640
32.7,0.001104972,0.001680672,905,595
32.8,0.001156069,0.001724138,865,580
32.9,0.001212121,0.001851852,825,540
33,0.001086957,0.001587302,920,630
33.1,0.001104972,0.001666667,905,600
33.2,0.001136364,0.001724138,880,580
33.3,0.001036269,0.0015625,965,640
33.4,0.001104972,0.001612903,905,620
33.5,0.001081081,0.001639344,925,610
33.6,0.001058201,0.001587302,945,630
33.7,0.001030928,0.001587302,970,630
33.8,0.001075269,0.001612903,930,620
33.9,0.001162791,0.001724138,860,580
34,0.001058201,0.0016,945,625
34.1,0.001036269,0.001574803,965,635
34.2,0.001086957,0.0016,920,625
34.3,0.001069519,0.001639344,935,610
34.4,0.001058201,0.0015625,945,640
34.5,0.001111111,0.001724138,900,580
34.6,0.001111111,0.001652893,900,605
34.7,0.001041667,0.001574803,960,635
34.8,0.001176471,0.00173913,850,575
34.9,0.001142857,0.00173913,875,575
35,0.001015228,0.001492537,985,670
35.1,0.001069519,0.001652893,935,605
35.2,0.000995025,0.001515152,1005,660
35.3,0.001092896,0.001626016,915,615
35.4,0.001226994,0.001834862,815,545
35.5,0.001075269,0.001626016,930,615
35.6,0.001058201,0.001538462,945,650
35.7,0.001081081,0.001612903,925,620
35.8,0.001149425,0.00173913,870,575
35.9,0.001111111,0.001680672,900,595
36,0.001190476,0.001785714,840,560
36.1,0.001058201,0.0015625,945,640
36.2,0.001104972,0.001724138,905,580
36.3,0.001098901,0.001639344,910,610
36.4,0.001169591,0.001724138,855,580
36.5,0.001169591,0.001754386,855,570
36.6,0.001069519,0.001652893,935,605
36.7,0.001075269,0.0016,930,625
36.8,0.001123596,0.001639344,890,610
36.9,0.001129944,0.001724138,885,580
37,0.00106383,0.001626016,940,615
37.1,0.001025641,0.001587302,975,630
37.2,0.001123596,0.001652893,890,605
37.3,0.001052632,0.001587302,950,630
37.4,0.001176471,0.00173913,850,575
37.5,0.001058201,0.0016,945,625
37.6,0.001020408,0.001538462,980,650
37.7,0.001104972,0.001680672,905,595
37.8,0.001098901,0.001639344,910,610
37.9,0.001136364,0.001694915,880,590
38,0.001025641,0.0015625,975,640
38.1,0.001052632,0.001587302,950,630
38.2,0.001010101,0.001538462,990,650
38.3,0.001010101,0.001526718,990,655
38.4,0.001069519,0.001587302,935,630
38.5,0.001,0.001515152,1000,660
38.6,0.001117318,0.001639344,895,610
38.7,0.00104712,0.001587302,955,630
38.8,0.001142857,0.001666667,875,600
38.9,0.001129944,0.001694915,885,590
39,0.001041667,0.001550388,960,645
39.1,0.00106383,0.001612903,940,620
39.2,0.001098901,0.001612903,910,620
39.3,0.001162791,0.00173913,860,575
39.4,0.001149425,0.001709402,870,585
39.5,0.001149425,0.001754386,870,570
39.6,0.001104972,0.001680672,905,595
39.7,0.00106383,0.0016,940,625
39.8,0.001162791,0.00173913,860,575
39.9,0.001176471,0.00173913,850,575
40,0.001219512,0.001851852,820,540
40.1,0.001036269,0.001515152,965,660
40.2,0.001086957,0.001694915,920,590
40.3,0.001183432,0.001754386,845,570
40.4,0.001388889,0.002020202,720,495
40.5,0.001515152,0.002380952,660,420
40.6,0.001169591,0.001754386,855,570
40.7,0.00104712,0.001574803,955,635
40.8,0.001058201,0.001538462,945,650
40.9,0.001169591,0.001818182,855,550
41,0.001020408,0.001492537,980,670
41.1,0.001025641,0.001538462,975,650
41.2,0.001025641,0.001574803,975,635
41.3,0.001092896,0.001639344,915,610
41.4,0.001136364,0.001709402,880,585
41.5,0.001212121,0.001769912,825,565
41.6,0.001005025,0.001526718,995,655
41.7,0.001058201,0.0015625,945,640
41.8,0.001036269,0.0015625,965,640
41.9,0.000990099,0.001492537,1010,670
42,0.001117318,0.001680672,895,595
42.1,0.00104712,0.001550388,955,645
42.2,0.001098901,0.001709402,910,585
42.3,0.001092896,0.001626016,915,615
42.4,0.001098901,0.001680672,910,595
42.5,0.001098901,0.0016,910,625
42.6,0.001104972,0.001652893,905,605
42.7,0.00106383,0.0016,940,625
42.8,0.001104972,0.001626016,905,615
42.9,0.001111111,0.001666667,900,600
43,0.00104712,0.001612903,955,620
43.1,0.00097561,0.001481481,1025,675
43.2,0.001081081,0.0016,925,625
43.3,0.000970874,0.001449275,1030,690
43.4,0.001010101,0.001515152,990,660
43.5,0.001111111,0.001639344,900,610
43.6,0.001015228,0.001574803,985,635
43.7,0.001,0.001492537,1000,670
43.8,0.001398601,0.002040816,715,490
43.9,0.001388889,0.00212766,720,470
44,0.001785714,0.002631579,560,380
44.1,0.001351351,0.002061856,740,485
44.2,0.00141844,0.002061856,705,485
44.3,0.001351351,0.002061856,740,485
44.4,0.0015625,0.002409639,640,415
44.5,0.001680672,0.002564103,595,390
44.6,0.0015625,0.002380952,640,420
44.7,0.001626016,0.002777778,615,360
